keyword,position,url,domain,page_title,page_type,word_count_est,ranking_signals
web design for auto detailers,1,https://themeforest.net/search/auto%20detailing,themeforest.net,Auto Detailing Website Templates - ThemeForest,unfetched SERP result,0,SERP title/domain relevance; fetch blocked or timed out
web design for auto detailers,2,https://uicookies.com/auto-detailing-website-template/,uicookies.com,20 Best Auto Detailing Website Template 2026 - uiCookies,service landing page,2695,substantial long-form content; clear H2 structure; pricing/cost intent coverage; strong CTA; industry-specific positioning
web design for auto detailers,3,https://www.detailking.com/products/custom-auto-detailing-website-development-package,detailking.com,""" Auto Detailing Website Design & Hosting Activation Kit """,agency landing page,1838,substantial long-form content; clear H2 structure; proof/results language; pricing/cost intent coverage; FAQ coverage
web design for auto detailers,4,https://anytimedigitalmarketing.com/2024/03/18/20-best-auto-detailing-website-designs/,anytimedigitalmarketing.com,20 Best Auto Detailing Website Designs - Anytime Digital Marketing Accessibility Tools Increase Text Decrease Text Grayscale High Contrast Negative Contrast Light Background Links ,service landing page,3843,substantial long-form content; clear H2 structure; proof/results language; pricing/cost intent coverage; FAQ coverage
web design for auto detailers,5,https://mycleverai.com/car-detailing-website-design,mycleverai.com,Car Detailing Website Design - Professional Auto Detailing & Vehicle Care Website Design Services,service landing page,4593,substantial long-form content; clear H2 structure; proof/results language; pricing/cost intent coverage; strong CTA
web design for auto detailers,6,https://www.designdetail.io/car-detailing-website-design,designdetail.io,Car Detailing Website Design | Design Detail | Design Detail,blog/guide,881,clear H2 structure; proof/results language; pricing/cost intent coverage; strong CTA
web design for auto detailers,7,https://www.design.com/website-builder/tag/auto-detailing,design.com,Auto Detailing Websites | Instantly Create an Auto Detailing Website | Design.com Search Search Search Search Search Search Search Search Search Search Search Search Search Search ,mixed/commercial page,1134,substantial long-form content; pricing/cost intent coverage; industry-specific positioning
web design for auto detailers,8,https://dribbble.com/tags/car-detailing,dribbble.com,"Car Detailing designs, themes, templates and downloadable graphic ...",mixed/commercial page,0,domain authority or exact-match relevance likely
auto detailing marketing agency,1,https://savogroup.com/auto-service-marketing/auto-detailers/,savogroup.com,"Auto Detailing Marketing Agency | SEO, Web Design & PPC for Detailers | Savo Group",service landing page,2170,substantial long-form content; clear H2 structure; proof/results language; pricing/cost intent coverage; FAQ coverage
auto detailing marketing agency,2,https://groundedgroup.com/,groundedgroup.com,Design & Digital Marketing for Auto Detailing Businesses,SaaS/product page,1056,substantial long-form content; clear H2 structure; proof/results language; pricing/cost intent coverage; strong CTA
auto detailing marketing agency,3,https://www.upshift-auto.net/,upshift-auto.net,Upshift | Auto Detailing Marketing Agency,agency landing page,274,FAQ coverage; strong CTA; industry-specific positioning
